TotalScore,TotalLevelsCrossed,TotalEnemiesKilled,TotalTimeRequired
1220.0,5,22,7.24
550.0,3,10,1.88
400.0,2,7,8.15
670.0,3,11,2.36
700.0,4,13,5.94
550.0,3,10,1.81
500.0,4,9,1.8
1640.0,7,31,9.13
1200.0,5,21,5.03
1370.0,5,24,7.87
810.0,4,14,3.79
300.0,3,5,0.99
450.0,3,8,1.11
250.0,3,4,0.9
810.0,3,14,4.54
1150.0,6,20,4.61
610.0,3,10,3.08
550.0,3,10,2.94
400.0,3,7,0.87
1260.0,5,23,4.85
810.0,4,14,4.43
760.0,3,13,5.02
350.0,3,6,1.29
550.0,3,10,2.05
690.0,3,12,3.13
950.0,5,18,4.7
550.0,3,10,1.61
800.0,4,15,2.36
500.0,3,9,1.51
850.0,4,16,3.95
1290.0,5,22,7.16
1210.0,6,22,5.27
810.0,4,14,7.0
960.0,4,15,4.44
1160.0,5,21,3.95
550.0,3,10,2.58
700.0,3,13,4.4
700.0,3,13,1.38
800.0,3,15,7.5
550.0,4,10,3.55
700.0,3,13,2.05
1600.0,6,29,8.98
350.0,3,6,1.22
550.0,3,10,1.89
750.0,4,14,2.92
350.0,3,6,1.55
1160.0,4,20,10.15
1050.0,4,20,8.37
650.0,3,12,2.67
450.0,3,8,3.45
700.0,3,13,6.7
610.0,4,10,1.34
250.0,3,4,0.77
500.0,3,9,1.49
460.0,3,7,1.53
710.0,3,12,4.46
700.0,4,13,1.62
870.0,3,15,4.03
790.0,4,14,4.46
700.0,3,13,3.9
810.0,4,14,4.45
760.0,3,13,5.96
350.0,3,6,1.4
150.0,3,2,0.72
1760.0,6,33,7.03
700.0,4,13,6.44
900.0,4,17,2.48
570.0,3,9,3.24
600.0,3,11,1.54
900.0,5,17,2.05
300.0,3,5,0.89
750.0,3,14,3.89
1280.0,6,23,3.27
610.0,3,10,4.93
550.0,3,10,2.22
1470.0,7,26,8.11
700.0,3,13,6.83
750.0,4,14,2.08
250.0,3,4,1.02
500.0,3,9,1.85
760.0,3,13,3.43
810.0,3,14,4.97
700.0,3,13,8.07
850.0,4,16,3.61
510.0,3,8,2.3
500.0,3,9,1.72
960.0,3,17,4.28
800.0,4,15,7.82
300.0,3,5,1.03
810.0,3,14,3.79
800.0,4,15,7.41
550.0,3,10,1.43
700.0,3,13,2.42
750.0,5,14,5.16
1050.0,6,20,4.9
900.0,4,17,5.67
1210.0,5,22,4.03
1310.0,6,24,4.75
550.0,3,10,1.76
500.0,3,9,0.98
600.0,3,11,3.22
600.0,4,11,2.18
600.0,3,11,1.39
570.0,3,9,2.05
450.0,3,8,3.39
450.0,3,8,1.88
650.0,3,12,7.31
800.0,4,13,4.4
450.0,3,8,7.08
800.0,3,15,3.61
850.0,4,16,3.39
450.0,3,8,3.69
600.0,3,11,1.55
600.0,2,11,7.12
600.0,3,11,1.91
500.0,3,9,1.19
450.0,3,8,1.13
630.0,3,11,4.39
720.0,3,12,4.09
350.0,3,6,1.44
610.0,3,10,1.44
500.0,3,9,1.25
800.0,4,15,3.23
920.0,5,16,3.05
940.0,4,17,7.04
960.0,3,16,2.34
450.0,3,8,7.14
810.0,3,14,2.27
650.0,3,12,1.63
550.0,3,10,1.48
650.0,3,12,2.12
300.0,3,5,1.27
550.0,3,10,3.78
600.0,2,11,6.85
400.0,3,7,3.27
900.0,3,17,6.97
1450.0,6,26,3.75
820.0,3,14,6.04
650.0,4,12,3.78
